V1	V(n002)	I(D1)
Step Information: Temp=-25  (Step: 1/3)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	9.999517e-02	9.946774e-09
2.000000000000000e-01	1.999459e-01	1.113481e-07
3.000000000000000e-01	2.994492e-01	1.133345e-06
4.000000000000000e-01	3.949334e-01	1.042513e-05
5.000000000000000e-01	4.706273e-01	6.050663e-05
6.000000000000001e-01	5.158741e-01	1.731046e-04
7.000000000000001e-01	5.428637e-01	3.240482e-04
8.000000000000000e-01	5.608522e-01	4.921517e-04
9.000000000000000e-01	5.743799e-01	6.738786e-04
1.000000000000000e+00	5.847245e-01	8.569381e-04
1.100000000000000e+00	5.932142e-01	1.043766e-03
1.200000000000000e+00	6.004294e-01	1.234236e-03
1.300000000000000e+00	6.066751e-01	1.426962e-03
1.400000000000000e+00	6.121712e-01	1.621296e-03
1.500000000000000e+00	6.170742e-01	1.816894e-03
1.600000000000000e+00	6.214972e-01	2.013507e-03
1.700000000000000e+00	6.255239e-01	2.210950e-03
1.800000000000000e+00	6.292183e-01	2.409088e-03
1.900000000000000e+00	6.326303e-01	2.607813e-03
2.000000000000000e+00	6.357993e-01	2.807042e-03
2.100000000000000e+00	6.387572e-01	3.006709e-03
2.200000000000000e+00	6.415299e-01	3.206758e-03
2.300000000000000e+00	6.441392e-01	3.407146e-03
2.400000000000000e+00	6.466027e-01	3.607834e-03
2.500000000000000e+00	6.489360e-01	3.808791e-03
2.600000000000000e+00	6.511519e-01	4.009990e-03
2.700000000000000e+00	6.532615e-01	4.211409e-03
2.800000000000000e+00	6.552745e-01	4.413026e-03
2.900000000000000e+00	6.571992e-01	4.614826e-03
3.000000000000000e+00	6.590431e-01	4.816792e-03
3.100000000000000e+00	6.608124e-01	5.018912e-03
3.200000000000000e+00	6.625131e-01	5.221173e-03
3.300000000000000e+00	6.641502e-01	5.423565e-03
3.400000000000000e+00	6.657283e-01	5.626079e-03
3.500000000000000e+00	6.672513e-01	5.828706e-03
3.600000000000000e+00	6.687231e-01	6.031438e-03
3.700000000000000e+00	6.701469e-01	6.234270e-03
3.800000000000000e+00	6.715257e-01	6.437194e-03
3.900000000000000e+00	6.728622e-01	6.640204e-03
4.000000000000000e+00	6.741591e-01	6.843297e-03
4.100000000000001e+00	6.754185e-01	7.046467e-03
4.200000000000000e+00	6.766425e-01	7.249709e-03
4.300000000000000e+00	6.778330e-01	7.453021e-03
4.400000000000000e+00	6.789919e-01	7.656397e-03
4.500000000000000e+00	6.801208e-01	7.859835e-03
4.600000000000001e+00	6.812211e-01	8.063333e-03
4.700000000000000e+00	6.822942e-01	8.266886e-03
4.800000000000001e+00	6.833416e-01	8.470492e-03
4.900000000000000e+00	6.843643e-01	8.674149e-03
5.000000000000000e+00	6.853635e-01	8.877854e-03
5.100000000000001e+00	6.863403e-01	9.081606e-03
5.200000000000000e+00	6.872956e-01	9.285402e-03
5.300000000000001e+00	6.882303e-01	9.489239e-03
5.400000000000000e+00	6.891453e-01	9.693118e-03
5.500000000000000e+00	6.900415e-01	9.897035e-03
5.600000000000001e+00	6.909196e-01	1.010099e-02
5.700000000000000e+00	6.917803e-01	1.030498e-02
5.800000000000001e+00	6.926242e-01	1.050900e-02
5.900000000000000e+00	6.934520e-01	1.071306e-02
6.000000000000000e+00	6.942644e-01	1.091715e-02
6.100000000000001e+00	6.950617e-01	1.112127e-02
6.200000000000000e+00	6.958448e-01	1.132542e-02
6.300000000000001e+00	6.966139e-01	1.152960e-02
6.400000000000000e+00	6.973696e-01	1.173381e-02
6.500000000000000e+00	6.981124e-01	1.193804e-02
6.600000000000001e+00	6.988427e-01	1.214230e-02
6.700000000000000e+00	6.995609e-01	1.234658e-02
6.800000000000001e+00	7.002674e-01	1.255089e-02
6.900000000000000e+00	7.009625e-01	1.275522e-02
7.000000000000000e+00	7.016467e-01	1.295958e-02
7.100000000000001e+00	7.023202e-01	1.316395e-02
7.200000000000000e+00	7.029834e-01	1.336835e-02
7.300000000000001e+00	7.036367e-01	1.357276e-02
7.400000000000000e+00	7.042803e-01	1.377720e-02
7.500000000000000e+00	7.049143e-01	1.398166e-02
7.600000000000001e+00	7.055393e-01	1.418613e-02
7.700000000000000e+00	7.061554e-01	1.439063e-02
7.800000000000001e+00	7.067629e-01	1.459514e-02
7.900000000000000e+00	7.073619e-01	1.479967e-02
8.000000000000000e+00	7.079527e-01	1.500421e-02
8.100000000000000e+00	7.085356e-01	1.520877e-02
8.200000000000001e+00	7.091108e-01	1.541335e-02
8.300000000000001e+00	7.096784e-01	1.561795e-02
8.400000000000000e+00	7.102387e-01	1.582255e-02
8.500000000000000e+00	7.107918e-01	1.602718e-02
8.600000000000000e+00	7.113379e-01	1.623181e-02
8.700000000000001e+00	7.118773e-01	1.643647e-02
8.800000000000001e+00	7.124100e-01	1.664113e-02
8.900000000000000e+00	7.129362e-01	1.684581e-02
9.000000000000000e+00	7.134561e-01	1.705050e-02
9.100000000000000e+00	7.139698e-01	1.725521e-02
9.200000000000001e+00	7.144775e-01	1.745992e-02
9.300000000000001e+00	7.149793e-01	1.766465e-02
9.400000000000000e+00	7.154754e-01	1.786939e-02
9.500000000000000e+00	7.159658e-01	1.807415e-02
9.600000000000001e+00	7.164507e-01	1.827891e-02
9.700000000000001e+00	7.169303e-01	1.848368e-02
9.800000000000001e+00	7.174045e-01	1.868847e-02
9.900000000000000e+00	7.178737e-01	1.889326e-02
1.000000000000000e+01	7.183378e-01	1.909807e-02
1.010000000000000e+01	7.187970e-01	1.930289e-02
1.020000000000000e+01	7.192513e-01	1.950771e-02
1.030000000000000e+01	7.197010e-01	1.971255e-02
1.040000000000000e+01	7.201460e-01	1.991739e-02
1.050000000000000e+01	7.205865e-01	2.012225e-02
1.060000000000000e+01	7.210225e-01	2.032711e-02
1.070000000000000e+01	7.214542e-01	2.053199e-02
1.080000000000000e+01	7.218816e-01	2.073687e-02
1.090000000000000e+01	7.223048e-01	2.094176e-02
1.100000000000000e+01	7.227240e-01	2.114666e-02
1.110000000000000e+01	7.231390e-01	2.135157e-02
1.120000000000000e+01	7.235502e-01	2.155648e-02
1.130000000000000e+01	7.239575e-01	2.176140e-02
1.140000000000000e+01	7.243609e-01	2.196634e-02
1.150000000000000e+01	7.247607e-01	2.217127e-02
1.160000000000000e+01	7.251568e-01	2.237622e-02
1.170000000000000e+01	7.255493e-01	2.258117e-02
1.180000000000000e+01	7.259382e-01	2.278613e-02
1.190000000000000e+01	7.263237e-01	2.299110e-02
1.200000000000000e+01	7.267057e-01	2.319608e-02
1.210000000000000e+01	7.270845e-01	2.340106e-02
1.220000000000000e+01	7.274599e-01	2.360605e-02
1.230000000000000e+01	7.278321e-01	2.381105e-02
1.240000000000000e+01	7.282012e-01	2.401605e-02
1.250000000000000e+01	7.285670e-01	2.422106e-02
1.260000000000000e+01	7.289298e-01	2.442607e-02
1.270000000000000e+01	7.292897e-01	2.463109e-02
1.280000000000000e+01	7.296464e-01	2.483612e-02
1.290000000000000e+01	7.300004e-01	2.504115e-02
1.300000000000000e+01	7.303514e-01	2.524619e-02
1.310000000000000e+01	7.306996e-01	2.545124e-02
1.320000000000000e+01	7.310450e-01	2.565629e-02
1.330000000000000e+01	7.313877e-01	2.586134e-02
1.340000000000000e+01	7.317277e-01	2.606640e-02
1.350000000000000e+01	7.320650e-01	2.627147e-02
1.360000000000000e+01	7.323997e-01	2.647654e-02
1.370000000000000e+01	7.327318e-01	2.668162e-02
1.380000000000000e+01	7.330614e-01	2.688671e-02
1.390000000000000e+01	7.333885e-01	2.709179e-02
1.400000000000000e+01	7.337132e-01	2.729689e-02
1.410000000000000e+01	7.340354e-01	2.750199e-02
1.420000000000000e+01	7.343552e-01	2.770709e-02
1.430000000000000e+01	7.346727e-01	2.791220e-02
1.440000000000000e+01	7.349879e-01	2.811731e-02
1.450000000000000e+01	7.353008e-01	2.832243e-02
1.460000000000000e+01	7.356114e-01	2.852755e-02
1.470000000000000e+01	7.359198e-01	2.873268e-02
1.480000000000000e+01	7.362260e-01	2.893781e-02
1.490000000000000e+01	7.365301e-01	2.914294e-02
1.500000000000000e+01	7.368320e-01	2.934808e-02
1.510000000000000e+01	7.371319e-01	2.955323e-02
1.520000000000000e+01	7.374297e-01	2.975838e-02
1.530000000000000e+01	7.377254e-01	2.996353e-02
1.540000000000000e+01	7.380191e-01	3.016868e-02
1.550000000000000e+01	7.383109e-01	3.037385e-02
1.560000000000000e+01	7.386007e-01	3.057901e-02
1.570000000000000e+01	7.388885e-01	3.078418e-02
1.580000000000000e+01	7.391744e-01	3.098935e-02
1.590000000000000e+01	7.394585e-01	3.119453e-02
1.600000000000000e+01	7.397407e-01	3.139971e-02
1.610000000000000e+01	7.400210e-01	3.160489e-02
1.620000000000000e+01	7.402996e-01	3.181008e-02
1.630000000000000e+01	7.405764e-01	3.201528e-02
1.640000000000000e+01	7.408514e-01	3.222047e-02
1.650000000000000e+01	7.411247e-01	3.242567e-02
1.660000000000000e+01	7.413962e-01	3.263087e-02
1.670000000000000e+01	7.416661e-01	3.283608e-02
1.680000000000000e+01	7.419343e-01	3.304129e-02
1.690000000000000e+01	7.422008e-01	3.324650e-02
1.700000000000000e+01	7.424657e-01	3.345172e-02
1.710000000000000e+01	7.427289e-01	3.365694e-02
1.720000000000000e+01	7.429907e-01	3.386216e-02
1.730000000000000e+01	7.432507e-01	3.406738e-02
1.740000000000000e+01	7.435093e-01	3.427261e-02
1.750000000000000e+01	7.437663e-01	3.447785e-02
1.760000000000000e+01	7.440218e-01	3.468308e-02
1.770000000000000e+01	7.442757e-01	3.488832e-02
1.780000000000000e+01	7.445282e-01	3.509356e-02
1.790000000000000e+01	7.447792e-01	3.529881e-02
1.800000000000000e+01	7.450288e-01	3.550405e-02
1.810000000000000e+01	7.452769e-01	3.570931e-02
