time	I(D1)
0.000000000000000e+00	-1.250100e-07
1.953124890551744e-13	3.781155e-06
3.906249781103488e-13	7.687237e-06
7.812499562206976e-13	1.549923e-05
1.562499912441395e-12	3.112221e-05
3.124999824882790e-12	6.236413e-05
6.249999649765581e-12	1.248318e-04
1.249999929953116e-11	2.497028e-04
2.499999859906232e-11	4.991876e-04
4.999999719812465e-11	9.971341e-04
9.999999439624929e-11	1.988980e-03
1.999999887924986e-10	3.956844e-03
3.999999775849972e-10	7.832167e-03
7.999999551699943e-10	1.536516e-02
1.000000000000000e-09	1.897336e-02
1.599999910339989e-09	1.779987e-02
2.423148154786217e-09	1.641383e-02
3.811096529780305e-09	1.442337e-02
6.586993279768482e-09	1.160124e-02
7.008779144478519e-09	1.130802e-02
7.852350873898593e-09	1.070730e-02
9.539494332738742e-09	9.883781e-03
9.961280197448779e-09	9.875537e-03
1.080485192686885e-08	9.813345e-03
1.249199538570900e-08	9.778858e-03
1.586628230338930e-08	9.732085e-03
2.261485613874990e-08	9.688615e-03
3.611200380947109e-08	9.648657e-03
5.564325380947109e-08	9.818085e-03
7.517450380947109e-08	9.604127e-03
9.470575380947109e-08	9.950540e-03
1.142370038094711e-07	9.721329e-03
1.337682538094711e-07	9.652651e-03
1.532995038094711e-07	9.599387e-03
1.728307538094711e-07	9.574443e-03
1.923620038094711e-07	9.558883e-03
2.118932538094711e-07	9.548309e-03
2.314245038094711e-07	9.540346e-03
2.509557538094711e-07	9.533974e-03
2.704870038094711e-07	9.528656e-03
2.900182538094711e-07	9.524078e-03
3.095495038094711e-07	9.520048e-03
3.290807538094711e-07	9.516441e-03
3.486120038094711e-07	9.513170e-03
3.681432538094711e-07	9.510173e-03
3.876745038094711e-07	9.507403e-03
4.072057538094711e-07	9.504827e-03
4.267370038094711e-07	9.502418e-03
4.462682538094711e-07	9.500155e-03
4.657995038094711e-07	9.498021e-03
4.853307538094711e-07	9.496001e-03
5.048620038094710e-07	9.494083e-03
5.243932538094711e-07	9.492259e-03
5.439245038094711e-07	9.490519e-03
5.634557538094712e-07	9.488856e-03
5.829870038094712e-07	9.487265e-03
6.025182538094713e-07	9.485738e-03
6.220495038094713e-07	9.484272e-03
6.415807538094714e-07	9.482862e-03
6.611120038094714e-07	9.481505e-03
6.806432538094715e-07	9.480197e-03
7.001745038094715e-07	9.478935e-03
7.197057538094716e-07	9.477716e-03
7.392370038094716e-07	9.476538e-03
7.587682538094717e-07	9.475397e-03
7.782995038094717e-07	9.474292e-03
7.978307538094718e-07	9.473222e-03
8.173620038094718e-07	9.472185e-03
8.368932538094719e-07	9.471178e-03
8.564245038094719e-07	9.470200e-03
8.759557538094720e-07	9.469250e-03
8.954870038094720e-07	9.468326e-03
9.150182538094721e-07	9.467429e-03
9.345495038094721e-07	9.466554e-03
9.540807538094722e-07	9.465704e-03
9.736120038094722e-07	9.464875e-03
9.931432538094723e-07	9.464066e-03
1.012674503809472e-06	9.463280e-03
1.032205753809472e-06	9.462511e-03
1.051737003809472e-06	9.461762e-03
1.071268253809472e-06	9.461031e-03
1.090799503809473e-06	9.460317e-03
1.110330753809473e-06	9.459619e-03
1.129862003809473e-06	9.458939e-03
1.149393253809473e-06	9.458273e-03
1.168924503809473e-06	9.457622e-03
1.188455753809473e-06	9.456986e-03
1.207987003809473e-06	9.456363e-03
1.227518253809473e-06	9.455753e-03
1.247049503809473e-06	9.455157e-03
1.266580753809473e-06	9.454574e-03
1.286112003809473e-06	9.454003e-03
1.305643253809473e-06	9.453443e-03
1.325174503809473e-06	9.452894e-03
1.344705753809473e-06	9.452357e-03
1.364237003809473e-06	9.451831e-03
1.383768253809473e-06	9.451315e-03
1.403299503809473e-06	9.450808e-03
1.422830753809473e-06	9.450313e-03
1.442362003809473e-06	9.449826e-03
1.461893253809474e-06	9.449348e-03
1.481424503809474e-06	9.448879e-03
1.500955753809474e-06	9.448420e-03
1.520487003809474e-06	9.447969e-03
1.540018253809474e-06	9.447526e-03
1.559549503809474e-06	9.447091e-03
1.579080753809474e-06	9.446664e-03
1.598612003809474e-06	9.446245e-03
1.618143253809474e-06	9.445832e-03
1.637674503809474e-06	9.445428e-03
1.657205753809474e-06	9.445030e-03
1.676737003809474e-06	9.444639e-03
1.696268253809474e-06	9.444255e-03
1.715799503809474e-06	9.443877e-03
1.735330753809474e-06	9.443507e-03
1.754862003809474e-06	9.443142e-03
1.774393253809474e-06	9.442783e-03
1.793924503809474e-06	9.442430e-03
1.813455753809474e-06	9.442083e-03
1.832987003809474e-06	9.441742e-03
1.852518253809475e-06	9.441406e-03
1.872049503809475e-06	9.441075e-03
1.891580753809475e-06	9.440750e-03
1.911112003809474e-06	9.440430e-03
1.930643253809475e-06	9.440115e-03
1.950174503809475e-06	9.439806e-03
1.969705753809475e-06	9.439500e-03
1.989237003809475e-06	9.439200e-03
2.008768253809475e-06	9.438904e-03
2.028299503809475e-06	9.438612e-03
2.047830753809475e-06	9.438327e-03
2.067362003809475e-06	9.438043e-03
2.086893253809475e-06	9.437766e-03
2.106424503809475e-06	9.437492e-03
2.125955753809475e-06	9.437222e-03
2.145487003809475e-06	9.436957e-03
2.165018253809475e-06	9.436695e-03
2.184549503809475e-06	9.436437e-03
2.204080753809475e-06	9.436183e-03
2.223612003809475e-06	9.435932e-03
2.243143253809475e-06	9.435685e-03
